a,meanlog_obs,sdlog_obs,meanlog_sim,sdlog_sim,loss,yr,yr_idx,a_hat
0.5,3.3665761589054095,0.6573675096699019,3.3163808798806107,0.6805680394833341,0.0035960952036253237,2019,20,0.25
1.5,3.3665761589054095,0.6573675096699019,3.2219014021853107,0.7041634261499483,0.025310500830434728,2019,20,0.25
0.75,3.3665761589054095,0.6573675096699019,3.223342746225794,0.743641970905788,0.035402375830933815,2019,20,0.25
1.25,3.3665761589054095,0.6573675096699019,3.1428181642447854,0.697897791539689,0.05335304767143266,2019,20,0.25
1,3.3665761589054095,0.6573675096699019,3.117681547446667,0.728609083544044,0.07209925130932819,2019,20,0.25
2,3.3665761589054095,0.6573675096699019,3.0209102154375147,0.7742195567413347,0.14679374628311856,2019,20,0.25
0.25,2.8249562208035113,0.591606929877012,2.7812884848050468,0.641965186436209,0.006978779174595412,2020,21,0.25
0.5,2.8249562208035113,0.591606929877012,2.6793615620081406,0.6910292970461823,0.04096741885678304,2020,21,0.25
1,2.8249562208035113,0.591606929877012,2.6248816431012987,0.7033138348732372,0.06498670189039005,2020,21,0.25
0.75,2.8249562208035113,0.591606929877012,2.508598858193476,0.7502313993437462,0.15040542550478314,2020,21,0.25
1.5,2.8249562208035113,0.591606929877012,2.4803616264831687,0.7806185236662553,0.19019619960830125,2020,21,0.25
1.25,2.8249562208035113,0.591606929877012,2.415147932040751,0.8258663651547328,0.2776977995719352,2020,21,0.25
2,2.8249562208035113,0.591606929877012,2.3193631120976197,0.7204113273821238,0.28880553720419716,2020,21,0.25
0.25,3.331194901372022,0.5669271782592306,3.2691273437307062,0.5944708046816901,0.005369684424558067,2021,22,0.25
1,3.331194901372022,0.5669271782592306,3.2649467831415273,0.6137783907365522,0.00877888539027186,2021,22,0.25
1.25,3.331194901372022,0.5669271782592306,3.23903125286325,0.6264129011702086,0.015571240566931759,2021,22,0.25
0.5,3.331194901372022,0.5669271782592306,3.143331820941749,0.6610569165633554,0.0530133522551572,2021,22,0.25
1.5,3.331194901372022,0.5669271782592306,3.103742984761351,0.724533985547671,0.10141418577717876,2021,22,0.25
0.75,3.331194901372022,0.5669271782592306,2.9725342598089948,0.6988961578401199,0.16346907894964463,2021,22,0.25
2,3.331194901372022,0.5669271782592306,2.924915053258196,0.7321667083503967,0.21967151959289222,2021,22,0.25
0.25,3.401800256298874,0.6392153255971957,3.399229890863375,0.6295167696908222,1.9473075181011438e-4,2022,23,0.25
0.75,3.401800256298874,0.6392153255971957,3.323244338170085,0.6313437010298524,0.006294957219715361,2022,23,0.25
0.5,3.401800256298874,0.6392153255971957,3.2963582435168,0.6584449978486135,0.011857578649328881,2022,23,0.25
1,3.401800256298874,0.6392153255971957,3.2126272735666657,0.7109985957610738,0.04609209314664095,2022,23,0.25
1.25,3.401800256298874,0.6392153255971957,3.1242671228149983,0.7720008012234257,0.11228860525594692,2022,23,0.25
1.5,3.401800256298874,0.6392153255971957,2.8914555088662004,0.7688755453076912,0.2940753063828671,2022,23,0.25
2,3.401800256298874,0.6392153255971957,2.8540527478561644,0.7689580635164378,0.33369368909075836,2022,23,0.25
0.5,3.2736136351465466,0.6700506051127397,3.2658255026467775,0.6831544538597225,4.040767118015636e-4,2023,24,0.5
0.25,3.2736136351465466,0.6700506051127397,3.211094129743671,0.6804094935877065,0.004123301696693784,2023,24,0.5
1,3.2736136351465466,0.6700506051127397,3.1591353666756388,0.7001654462456347,0.01491908126501625,2023,24,0.5
0.75,3.2736136351465466,0.6700506051127397,3.146104785394392,0.7747288679945638,0.038173584205030045,2023,24,0.5
1.5,3.2736136351465466,0.6700506051127397,3.043497536040432,0.770512938948578,0.07313878010730199,2023,24,0.5
1.25,3.2736136351465466,0.6700506051127397,3.021371810938864,0.8090388878138494,0.10226142333602666,2023,24,0.5
2,3.2736136351465466,0.6700506051127397,2.634946793295318,0.8036044259870905,0.4435685810204984,2023,24,0.5
0.5,3.3789128114574267,0.6472560062464543,3.2677698926589387,0.7146459968159266,0.02143557005695442,2024,25,0.5
0.25,3.3789128114574267,0.6472560062464543,3.2399340853041627,0.7172499486530018,0.02911339027040614,2024,25,0.5
0.75,3.3789128114574267,0.6472560062464543,3.1766698085467704,0.7626667737570959,0.06754152274111049,2024,25,0.5
